datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1990-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-25,15.8413,99982.0666,1.3,99997.9079,-2.092099999995156e-05,0.999979079,2.092099999995156e-05
1990-05-29,16.237299999999998,99982.0666,1.3,99998.3039,3.960082848752933e-06,0.999983039,1.696100000003753e-05
1990-05-30,16.3859,99982.0666,1.3,99998.4525,1.4860252044446298e-06,0.9999845249999999,1.547500000009805e-05
1990-05-31,16.3363,99982.0666,1.3,99998.4029,-4.960076757098975e-07,0.9999840289999999,1.597100000005902e-05
1990-06-01,16.1383,99982.0666,1.3,99998.20490000001,-1.980031622994538e-06,0.999982049,1.7951000000016037e-05
1990-06-04,16.1383,99982.0666,1.3,99998.20490000001,0.0,0.999982049,1.7951000000016037e-05
1990-06-05,15.643299999999998,99982.0666,1.3,99997.7099,-4.950088859145829e-06,0.9999770989999999,2.2901000000130622e-05
1990-06-06,15.643299999999998,99982.0666,1.3,99997.7099,0.0,0.9999770989999999,2.2901000000130622e-05
1990-06-07,15.445300000000001,99982.0666,1.3,99997.51190000001,-1.980045344907033e-06,0.999975119,2.4880999999976616e-05
1990-06-08,15.148200000000001,99982.0666,1.3,99997.2148,-2.971073923441203e-06,0.9999721479999999,2.7852000000105903e-05
1990-06-11,15.445300000000001,99982.0666,1.3,99997.51190000001,2.9710827507134496e-06,0.999975119,2.4880999999976616e-05
1990-06-12,16.0393,99982.0666,1.3,99998.10590000001,5.940147796756889e-06,0.999981059,1.8940999999994546e-05
1990-06-13,15.7423,99982.0666,1.3,99997.8089,-2.9700562559353827e-06,0.999978089,2.1911000000041092e-05
1990-06-14,15.7423,99982.0666,1.3,99997.8089,0.0,0.999978089,2.1911000000041092e-05
1990-06-15,15.643299999999998,99982.0666,1.3,99997.7099,-9.900216924041416e-07,0.9999770989999999,2.2901000000130622e-05
1990-06-18,15.5443,99982.0666,1.3,99997.6109,-9.900226725090278e-07,0.9999761089999999,2.389100000010913e-05
1990-06-19,15.692799999999998,99982.0666,1.3,99997.75940000001,1.4850354790318931e-06,0.999977594,2.2406000000030346e-05
1990-06-20,15.8413,99982.0666,1.3,99997.9079,1.485033273684877e-06,0.999979079,2.092099999995156e-05
1990-06-21,16.5839,99982.0666,1.3,99998.6505,7.426155362644238e-06,0.9999865050000001,1.3494999999918988e-05
1990-06-22,16.4354,99982.0666,1.3,99998.50200000001,-1.4850200402705127e-06,0.9999850200000001,1.497999999988675e-05
1990-06-25,16.3363,99982.0666,1.3,99998.4029,-9.910148455194445e-07,0.9999840289999999,1.597100000005902e-05
1990-06-26,16.0888,99982.0666,1.3,99998.1554,-2.4750395288819504e-06,0.9999815539999999,1.8446000000116314e-05
1990-06-27,16.4354,99982.0666,1.3,99998.50200000001,3.4660639349759492e-06,0.9999850199999999,1.4980000000108795e-05
1990-06-28,17.0294,99982.0666,1.3,99999.096,5.940088982470115e-06,0.9999909599999999,9.040000000126724e-06
1990-06-29,17.7225,99982.0666,1.3,99999.78910000001,6.931062656923004e-06,0.999997891,2.108999999972383e-06
1990-07-02,17.4254,99982.0666,1.3,99999.492,-2.9710062660059933e-06,0.9999949199999999,5.08000000010167e-06
1990-07-03,17.4254,99982.0666,1.3,99999.492,0.0,0.9999949199999999,5.08000000010167e-06
1990-07-05,17.2274,99982.0666,1.3,99999.29400000001,-1.9800100583555746e-06,0.9999929399999999,7.060000000058686e-06
1990-07-06,17.7225,99982.0666,1.3,99999.78910000001,4.951034954236988e-06,0.9999978909999999,2.1090000000834053e-06
1990-07-09,18.465,99982.0666,1.3,100000.5316,7.425015659201506e-06,1.0000053159999998,0.0
1990-07-10,18.6135,99982.0666,1.3,100000.68010000001,1.4849921059489901e-06,1.0000068009999998,0.0
1990-07-11,18.6135,99982.0666,1.3,100000.68010000001,0.0,1.0000068009999998,0.0
1990-07-12,18.762,99982.0666,1.3,100000.82860000001,1.484989900601974e-06,1.000008286,0.0
1990-07-13,18.5145,99982.0666,1.3,100000.58110000001,-2.4749794923506485e-06,1.0000058109999999,2.4750000000572925e-06
1990-07-16,18.069000000000003,99982.0666,1.3,100000.13560000001,-4.454974112166887e-06,1.0000013559999998,6.930000000071601e-06
1990-07-17,17.5244,99982.0666,1.3,99999.591,-5.4459926153160865e-06,0.9999959099999998,1.2376000000147158e-05
1990-07-18,17.673,99982.0666,1.3,99999.7396,1.4860060777444062e-06,0.9999973959999997,1.0890000000207678e-05
1990-07-19,16.5344,99982.0666,1.3,99998.60100000001,-1.1386029649118612e-05,0.9999860099999998,2.2276000000154283e-05
1990-07-20,16.237299999999998,99982.0666,1.3,99998.3039,-2.9710415649919497e-06,0.9999830389999996,2.524700000028357e-05
1990-07-23,16.4354,99982.0666,1.3,99998.50200000001,1.9810336004955076e-06,0.9999850199999998,2.326600000013279e-05
1990-07-24,16.6829,99982.0666,1.3,99998.7495,2.4750370759552e-06,0.9999874949999997,2.079100000018652e-05
1990-07-25,16.7324,99982.0666,1.3,99998.799,4.950061900377278e-07,0.9999879899999997,2.0296000000197267e-05
1990-07-26,16.3859,99982.0666,1.3,99998.4525,-3.4650416151915664e-06,0.9999845249999997,2.3761000000233068e-05
1990-07-27,16.3859,99982.0666,1.3,99998.4525,0.0,0.9999845249999997,2.3761000000233068e-05
1990-07-30,16.7819,99982.0666,1.3,99998.84850000001,3.9600612820045455e-06,0.9999884849999997,1.9801000000208013e-05
1990-07-31,16.633399999999998,99982.0666,1.3,99998.70000000001,-1.4850170999558543e-06,0.9999869999999997,2.1286000000175775e-05
1990-08-01,16.7819,99982.0666,1.3,99998.84850000001,1.4850193053028704e-06,0.9999884849999998,1.980100000009699e-05
1990-08-02,17.2274,99982.0666,1.3,99999.29400000001,4.455051299867563e-06,0.9999929399999997,1.5346000000193705e-05
1990-08-03,16.3363,99982.0666,1.3,99998.4029,-8.911062912231316e-06,0.9999840289999996,2.4257000000305062e-05
1990-08-06,15.643299999999998,99982.0666,1.3,99997.7099,-6.930110680758439e-06,0.9999770989999996,3.118700000026564e-05
